           km_, km_difference,  km_offset, 
       sSlabel,     eSCHAR,     eULONG, 
 0 : dif_minus010,        -10,        130, 
 1 : dif_minus009,         -9,        130, 
 2 : dif_minus008,         -8,        130, 
 3 : dif_minus007,         -7,        125, 
 4 : dif_minus006,         -6,        120, 
 5 : dif_minus005,         -5,        115, 
 6 : dif_minus004,         -4,        110, 
 7 : dif_minus003,         -3,        105, 
 8 : dif_minus002,         -2,        100, 
 9 : dif_minus001,         -1,        100, 
10 :    dif_000,          0,        100, 
11 : dif_plus001,          1,        100, 
12 : dif_plus002,          2,        100, 
13 : dif_plus003,          3,         90, 
14 : dif_plus004,          4,         80, 
15 : dif_plus005,          5,         70, 
16 : dif_plus006,          6,         60, 
17 : dif_plus007,          7,         50, 
18 : dif_plus008,          8,         40, 
19 : dif_plus009,          9,         30, 
20 : dif_plus010,         10,         20, 

