           km_, km_HpChangeValue, km_ApChangeValue, km_UnionHpChangeValue, km_UnionApChangeValue, km_StatusChange, km_UnionStatusChange, km_MoralChangeValue, km_UnionMoralChangeValue, 
       sSlabel,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSCHAR,     eSCHAR,     eSLONG,     eSLONG, 
 0 :       None,          0,          0,          0,          0,          0,          0,          0,          0, 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 
          ,           ,           ,           ,           ,          0,          0,           ,           , 

