           km_, km_difference,  km_offset, 
       sSlabel,     eUCHAR,     eULONG, 
 0 : dif_margin_00,          0,        100, 
 1 : dif_margin_01,          1,        100, 
 2 : dif_margin_02,          2,        100, 
 3 : dif_margin_03,          3,         90, 
 4 : dif_margin_05,          5,         80, 
 5 : dif_margin_08,          8,         70, 
 6 : dif_margin,         10,         60, 
 7 : dif_margin,         12,         50, 
 8 : dif_margin,         15,         40, 
 9 : dif_margin,         20,         30, 
10 : dif_margin,         25,         20, 

