           km_, km_difference,  km_offset, 
       sSlabel,     eUCHAR,     eULONG, 
 0 : dif_margin_000,          0,        100, 
 1 : dif_margin_005,          5,        100, 
 2 : dif_margin_010,         10,        100, 
 3 : dif_margin_020,         20,        105, 
 4 : dif_margin_030,         30,        110, 
 5 : dif_margin_040,         40,        115, 
 6 : dif_margin_050,         50,        120, 
 7 : dif_margin_060,         60,        125, 
 8 : dif_margin_070,         70,        130, 
 9 : dif_margin_080,         80,        130, 
10 : dif_margin_090,         90,        130, 
11 : dif_margin,        100,        130, 

