           km_, 
       sSlabel, 
 0 : condition_m_0x0000, 
 1 : condition_m_0x0100, 
 2 : interval_m_0x0200, 
 3 : interval_m_0x0201, 
 4 : interval_m_0x0202, 
 5 : interval_m_0x0203, 
 6 : interval_m_0x0204, 
 7 : interval_m_0x0205, 
 8 : interval_m_0x0206, 
 9 : interval_m_0x0207, 
10 : interval_m_0x0300, 
11 : interval_m_0x0301, 
12 : interval_m_0x0302, 
13 : interval_m_0x0303, 
14 : interval_m_0x0304, 
15 : interval_m_0x0305, 
16 : interval_m_0x0306, 
17 : interval_m_0x0307, 
18 : parameter_m_0x0400, 
19 : parameter_m_0x0401, 
20 : parameter_m_0x0402, 
21 : parameter_m_0x0403, 
22 : parameter_m_0x0404, 
23 : parameter_m_0x0405, 
24 : parameter_m_0x0406, 
25 : parameter_m_0x0407, 
26 : parameter_m_0x0408, 
27 : parameter_m_0x0409, 
28 : parameter_m_0x040A, 
29 : parameter_m_0x040B, 
30 : parameter_m_0x040C, 
31 : parameter_m_0x040D, 
32 : parameter_m_0x040E, 
33 : parameter_m_0x040F, 
34 : parameter_m_0x0410, 
35 : parameter_m_0x0411, 
36 : parameter_m_0x0412, 
37 : parameter_m_0x0413, 
38 : parameter_m_0x0414, 
39 : parameter_m_0x0415, 
40 : parameter_m_0x0416, 
41 : parameter_m_0x0417, 
42 : parameter_m_0x0418, 
43 : parameter_m_0x0419, 
44 : parameter_m_0x041A, 
45 : parameter_m_0x041B, 
46 : parameter_m_0x041C, 
47 : parameter_m_0x041D, 
48 : parameter_m_0x041E, 
49 : parameter_m_0x041F, 
50 : parameter_u_0x0400, 
51 : parameter_u_0x0401, 
52 : parameter_u_0x0402, 
53 : parameter_u_0x0403, 
54 : parameter_u_0x0404, 
55 : parameter_u_0x0405, 
56 : parameter_u_0x0406, 
57 : parameter_u_0x0407, 
58 : parameter_u_0x0408, 
59 : parameter_u_0x0409, 
60 : parameter_u_0x040A, 
61 : parameter_u_0x040B, 
62 : parameter_u_0x040C, 
63 : parameter_u_0x040D, 
64 : parameter_u_0x040E, 
65 : parameter_u_0x040F, 
66 : parameter_u_0x0410, 
