           km_, km_difference,  km_offset, 
       sSlabel,     eSCHAR,     eULONG, 
 0 : dif_minus100,       -100,        100, 
 1 : dif_minus090,        -90,        100, 
 2 : dif_minus080,        -80,        100, 
 3 : dif_minus070,        -70,        100, 
 4 : dif_minus060,        -60,        100, 
 5 : dif_minus050,        -50,        100, 
 6 : dif_minus040,        -40,        100, 
 7 : dif_minus030,        -30,        100, 
 8 : dif_minus020,        -20,        100, 
 9 : dif_minus010,        -10,        100, 
10 :    dif_000,          0,        100, 
11 : dif_plus010,         10,        100, 
12 : dif_plus020,         20,        100, 
13 : dif_plus030,         30,        100, 
14 : dif_plus040,         40,        100, 
15 : dif_plus050,         50,        100, 
16 : dif_plus060,         60,        100, 
17 : dif_plus070,         70,        100, 
18 : dif_plus080,         80,        100, 
19 : dif_plus090,         90,        100, 
20 : dif_plus100,        100,        100, 

