           km_, km_VoiceCueId, km_VoiceUnitWorkId, km_LockCountWork, 
       sSlabel,     eSLONG,     eSLONG,     eUCHAR, 
 0 :       Work,         66,          4,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 
          ,           ,           ,          0, 

