           km_,   km_count,   km_flags,  km_number, 
       sSlabel,     eULONG,     eSLONG,     eSLONG, 
 0 :    DATA_00,          0,         -1,         -1, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 
          ,           ,          0,          0, 

