           km_,      km_id,     km_num, 
       sSlabel,     eSLONG,     eSCHAR, 
 0 :    SLOT_00,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
 1 :    SLOT_01,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
 2 :    SLOT_02,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
 3 :    SLOT_03,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
 4 :    SLOT_04,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
 5 :    SLOT_05,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
 6 :    SLOT_06,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
 7 :    SLOT_07,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
 8 :    SLOT_08,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
 9 :    SLOT_09,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
10 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
11 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
12 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
13 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
14 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
15 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
16 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
17 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
18 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
19 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
20 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
21 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
22 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
23 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
24 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
25 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
26 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
27 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
28 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
29 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
30 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
31 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
32 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
33 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
34 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
35 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
36 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
37 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
38 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
39 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
40 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
41 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
42 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
43 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
44 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
45 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
46 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
47 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
48 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
49 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
50 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
51 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
52 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
53 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
54 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
55 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
56 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
57 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
58 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
59 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
60 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
61 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
62 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
63 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
64 :       Slot,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 
          ,         -1,          0, 

